Ciudad,Agno,Regiondelmundo,Indicepreciossinalquiler,Indiceprecioconalquiler,Indicesalariosbruto,Indicesalariosneto,Horasanualesdetrabajo,Vacacionesanualespagadas,Podercomprabruto,Podercompraneto,TiempotrabajoporKgpan,Tiempotrabajoporhamburguesa,Gastoalimentos,Gastocestacompra,Preciovestidomujer,Preciotrajehombre,Preciopiso4habamueblado,Preciopiso3habsinamueblar,Precioalquiler,Precioelectrodomesticos,Preciotranviaometroobus,Preciotaxi,Preciocoche,Preciorestaurante,Precionochedehotel,Precioserviciosvarios,Impuestosycontribucionessocialescomo%salariobruto,Salarioporhoraneto,Maestro,Choferdeautobus,Mecanicodecoche,Obrerodelaconstruccion,Tornero,Jefedecocina,Directordefabrica,Ingeniero,Cajerobanco,Secretariadedireccion,Dependienta,Trabajadortextil,Ingresopromedioanualneto,Ejefactorialingreso1,Ejefactorialingreso2,Ejefactorialingreso3,Ejefactorialingreso4,Ejefactorialingreso5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med,Desigualdadsalarial,Manualescalificados,Femeninosnocalificados,Ejefactorialinformes1,Ejefactorialinformes2,Ejefactorialinformes3,Ejefactorialinformes4,Ejefactorialinformes5,Maestro/Med,Chofer/Med,Mecanico/Med,Obreroconstr/Med,Tornero/Med,Jefedecocina/Med,Diretorfabrica/Med,Ingeniero/Med,Cajerobanco/Med,Secretariadireccion/Med,Dependienta/Med,Trabajadortext/Med

AbuDhabi91,Edition1991,PROCHEORIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
AbuDhabi94,edition1994,PROCHEORIENT,71.30,78.10,29.90,38.00,2100.00,28.90,42.00,53.30,6.00,38.00,336.00,1388.00,930.00,1750.00,2710.00,920.00,920.00,1620.00,,1.36,12800.00,33.00,239.00,290.00,0.00,6.50,19500.00,11400.00,9200.00,3500.00,6800.00,33900.00,95000.00,59700.00,47800.00,14700.00,14700.00,4900.00,13650.00,-2.17,4.61,0.75,-0.42,0.18,1.43,0.84,0.67,0.26,0.50,2.48,6.96,4.37,3.50,1.08,1.08,0.36,6.70,0.59,0.72,6.11,-2.41,0.99,-1.89,1.98,1.41381.45,0.82550.84,0.57700.68,0.13300.26,0.13120.75,2.29492.48,6.56519.13,3.93934.37,3.22583.50,1.07691.11,1.07691.13,0.13120.36
Amsterdam91,Edition1991,CENTRALEUROPE,65.60,65.70,56.90,49.00,1714.00,31.90,86.70,74.80,9.00,31.00,303.00,1145.00,389.00,663.00,1400.00,723.00,340.00,1822.00,1.27,7.24,13867.00,25.00,234.00,275.00,31.40,7.84,15608.00,17819.00,11924.00,12661.00,14536.00,14402.00,25924.00,24786.00,14871.00,14871.00,11857.00,10852.00,13434.00,-0.19,-0.46,-0.07,-0.22,-0.17,1.16,1.33,0.89,0.94,1.08,1.07,1.93,1.85,1.11,1.11,0.88,0.81,1.12,0.98,0.85,-1.34,-0.82,0.91,0.42,0.11,1.16181.20,1.28681.33,0.88760.90,0.94250.96,1.08201.09,1.06021.07,1.91011.94,1.84501.88,1.09491.11,1.10701.12,0.88200.90,0.80740.83
Amsterdam94,edition1994,CENTRALEUROPE,68.80,70.30,61.40,53.70,1792.00,27.50,89.30,78.00,11.00,28.00,324.00,1339.00,410.00,710.00,1590.00,1060.00,520.00,1880.00,1.56,10.58,17200.00,26.00,286.00,330.00,31.50,9.20,23800.00,24900.00,14300.00,13000.00,22000.00,15600.00,33600.00,32600.00,22500.00,17000.00,12700.00,13700.00,16486.00,-1.58,-0.36,-0.58,-0.22,0.12,1.44,1.51,0.87,0.79,1.33,0.95,2.04,1.98,1.36,1.03,0.77,0.83,1.27,1.10,0.80,-1.67,-1.30,-0.61,0.45,0.49,1.41381.45,1.42201.51,0.86550.87,0.78190.79,1.31471.34,0.87120.95,1.99352.04,1.95971.98,1.34951.36,1.02021.03,0.76190.77,0.80740.83
Athenes91,Edition1991,SUDEUROPE,53.80,55.60,30.20,30.40,1792.00,23.50,56.10,56.40,9.00,33.00,267.00,940.00,308.00,536.00,931.00,690.00,450.00,2391.00,0.27,1.81,19628.00,17.00,180.00,167.00,19.90,4.89,7972.00,9445.00,8574.00,9847.00,14402.00,14068.00,13800.00,14804.00,9914.00,6900.00,4555.00,5761.00,8763.00,1.81,-0.55,0.41,0.09,0.30,0.91,1.08,0.98,1.12,1.64,1.61,1.57,1.69,1.13,0.79,0.52,0.66,1.17,1.31,0.59,-2.07,1.45,-1.68,-0.35,-0.68,0.84790.91,1.06581.09,0.97841.00,1.11521.13,1.64351.88,1.56131.69,1.56231.58,1.67461.72,1.10881.14,0.75670.83,0.51980.54,0.65740.66
Athenes94,edition1994,SUDEUROPE,54.40,56.70,27.70,28.50,1775.00,24.50,50.90,52.40,17.00,42.00,275.00,1059.00,370.00,900.00,1270.00,770.00,440.00,2310.00,0.30,2.12,23700.00,20.00,243.00,220.00,18.90,4.90,10100.00,11300.00,6000.00,9700.00,9600.00,11000.00,12300.00,13000.00,11000.00,8900.00,5800.00,6200.00,8698.00,1.91,-0.51,-0.08,0.17,-0.04,1.16,1.30,0.69,1.12,1.10,1.26,1.41,1.49,1.26,1.02,0.67,0.71,0.83,0.90,0.69,-1.62,-0.77,0.04,-0.55,-1.01,1.12211.16,1.28681.33,0.68980.75,1.11521.13,1.09591.10,1.25681.27,1.41411.45,1.49461.54,1.26471.31,1.02021.03,0.65950.68,0.70370.71
Bangkok91,Edition1991,SUDASIEETAUSTRALI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Bangkok94,edition1994,SUDASIEETAUSTRALI,64.60,70.10,9.50,11.20,2272.00,8.80,14.60,17.30,69.00,83.00,325.00,1258.00,290.00,540.00,2820.00,2170.00,320.00,3890.00,0.36,3.66,29600.00,28.00,190.00,230.00,5.10,2.00,4100.00,3400.00,2600.00,1700.00,6600.00,8500.00,27300.00,17900.00,12800.00,7100.00,1700.00,1900.00,4544.00,2.97,0.82,-0.22,-0.10,0.25,0.90,0.75,0.57,0.37,1.45,1.87,6.01,3.94,2.82,1.56,0.37,0.42,5.63,1.01,0.40,4.45,0.44,-3.34,-0.35,-0.35,0.84790.91,0.74670.76,0.14320.57,0.37410.41,1.43831.48,1.80981.92,5.48896.01,3.93934.37,2.10982.82,1.50891.72,0.34980.46,0.41810.50
Bogota91,Edition1991,SUDAMERIQUE,37.90,39.30,10.10,11.50,2152.00,17.40,26.60,30.30,23.00,98.00,137.00,661.00,161.00,208.00,1407.00,623.00,160.00,1768.00,0.09,1.56,11991.00,9.00,108.00,107.00,6.20,1.81,2144.00,2412.00,4354.00,1206.00,4823.00,13934.00,12192.00,12259.00,2345.00,5024.00,2278.00,2814.00,3892.00,3.41,0.16,0.61,-0.09,0.34,0.55,0.62,1.12,0.31,1.24,3.58,3.13,3.15,0.60,1.29,0.59,0.72,3.27,1.18,0.65,2.50,2.67,-0.84,1.02,-1.80,0.51280.58,0.47120.68,1.11871.15,0.29390.36,1.22691.24,3.53923.64,3.04103.13,2.91503.15,0.60120.77,1.23951.35,0.58530.62,0.71890.72
Bogota94,edition1994,SUDAMERIQUE,52.80,54.40,13.50,16.00,2154.00,18.70,25.50,30.20,32.00,72.00,258.00,1028.00,260.00,470.00,1900.00,900.00,250.00,1950.00,0.29,3.01,17500.00,13.00,204.00,170.00,4.90,2.80,4100.00,4100.00,6500.00,1700.00,5500.00,11600.00,31500.00,19000.00,8400.00,9100.00,3100.00,5100.00,6031.00,2.47,0.66,0.14,-0.31,0.26,0.68,0.68,1.08,0.28,0.91,1.92,5.22,3.15,1.39,1.51,0.51,0.85,4.94,0.99,0.68,2.85,1.18,-0.31,0.64,-1.01,0.65960.73,0.67980.74,1.06861.08,0.25910.28,0.77480.91,1.80981.92,4.45875.22,3.15043.69,1.38861.39,1.50891.72,0.46150.52,0.83930.85
Bombay91,Edition1991,SUDASIEETAUSTRALI,30.30,39.90,6.00,5.30,2052.00,30.60,19.90,17.60,27.00,131.00,116.00,529.00,54.00,248.00,2800.00,1869.00,190.00,1789.00,0.09,1.17,9110.00,11.00,158.00,74.00,21.10,0.87,1005.00,1340.00,1809.00,737.00,2479.00,2412.00,3751.00,2880.00,2345.00,1809.00,1072.00,1206.00,1787.00,4.55,-0.33,-0.24,0.24,0.02,0.56,0.75,1.01,0.41,1.39,1.35,2.10,1.61,1.31,1.01,0.60,0.67,1.69,1.20,0.64,-0.02,2.06,-0.68,0.57,-0.32,0.51280.58,0.74670.76,1.01231.02,0.37410.41,1.38081.43,1.28081.35,2.07952.10,1.59491.66,1.26471.31,1.01101.02,0.58530.62,0.66990.67
Bombay94,edition1994,SUDASIEETAUSTRALI,30.40,38.80,3.90,4.70,1990.00,39.30,12.70,15.50,29.00,92.00,113.00,591.00,120.00,180.00,2460.00,1830.00,300.00,2070.00,0.10,0.45,7000.00,12.00,169.00,100.00,1.60,0.80,1600.00,1700.00,1300.00,800.00,1400.00,2700.00,4300.00,2100.00,1800.00,2200.00,1100.00,1300.00,1592.00,4.56,-0.31,-0.26,0.28,0.02,1.01,1.07,0.82,0.50,0.88,1.70,2.70,1.32,1.13,1.38,0.69,0.82,2.20,0.85,0.75,0.39,-0.27,0.63,0.22,-1.26,0.99761.01,1.06581.09,0.76920.82,0.50250.61,0.77480.91,1.69601.77,2.69362.82,1.31911.36,1.10881.14,1.38191.51,0.68210.70,0.80740.83
Bruxelles91,Edition1991,CENTRALEUROPE,73.80,72.20,68.20,50.50,1708.00,24.60,92.40,68.40,12.00,31.00,316.00,1288.00,375.00,837.00,1239.00,489.00,460.00,2445.00,1.11,8.35,12929.00,20.00,236.00,255.00,40.60,8.11,14001.00,14068.00,10450.00,12192.00,17350.00,19159.00,31016.00,24518.00,19293.00,13800.00,10718.00,10182.00,13844.00,-0.23,0.02,0.31,-0.13,-0.09,1.01,1.02,0.75,0.88,1.25,1.38,2.24,1.77,1.39,1.00,0.77,0.74,1.50,1.00,0.75,-0.64,-0.14,-0.02,0.25,-0.35,0.99761.01,1.01621.04,0.68980.75,0.87910.89,1.24571.25,1.38391.41,2.24042.30,1.76381.77,1.38861.39,0.97161.00,0.77420.78,0.72360.74
Bruxelles94,edition1994,CENTRALEUROPE,71.80,72.00,61.40,49.50,1725.00,24.50,85.50,68.90,12.00,36.00,324.00,1398.00,390.00,890.00,1260.00,640.00,630.00,2830.00,1.44,8.22,18900.00,28.00,314.00,320.00,36.10,8.60,16000.00,14900.00,12200.00,13200.00,18100.00,19000.00,30300.00,24600.00,20600.00,14900.00,12100.00,11800.00,14835.00,-0.61,-0.17,0.25,-0.12,-0.26,1.08,1.00,0.82,0.89,1.22,1.28,2.04,1.66,1.39,1.00,0.82,0.80,1.25,1.02,0.81,-0.92,-0.25,0.38,0.38,-0.32,1.07151.08,0.98661.02,0.82240.84,0.88980.94,1.21581.22,1.28081.35,2.04252.08,1.59491.66,1.38861.39,1.00261.01,0.81210.82,0.78770.80
Budapest91,Edition1991,EUROPEORIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Budapest94,edition1994,EUROPEORIENTAL,52.80,43.40,7.70,6.80,1980.00,22.10,17.90,15.80,29.00,128.00,181.00,842.00,230.00,330.00,530.00,450.00,310.00,1990.00,0.24,3.19,15100.00,10.00,148.00,120.00,28.60,1.20,2100.00,3000.00,2200.00,1900.00,2600.00,4300.00,6400.00,4200.00,4200.00,2400.00,1800.00,1700.00,2376.00,4.19,-0.24,-0.16,0.28,0.01,0.88,1.26,0.93,0.80,1.09,1.81,2.69,1.77,1.77,1.01,0.76,0.72,1.98,1.01,0.74,-0.15,-0.17,0.35,-0.72,-0.03,0.84790.91,1.25751.27,0.92000.93,0.79250.81,1.08201.09,1.80981.92,2.69362.82,1.76381.77,1.72201.77,1.00261.01,0.75360.76,0.71310.72
BuenosAires91,Edition1991,SUDAMERIQUE,56.10,55.90,12.20,12.50,1971.00,16.20,21.70,22.20,26.00,105.00,192.00,980.00,315.00,616.00,1360.00,824.00,230.00,2673.00,0.24,3.44,21905.00,15.00,227.00,208.00,16.50,2.01,1876.00,2747.00,3885.00,1742.00,4689.00,5895.00,36174.00,12192.00,6900.00,5962.00,2412.00,2278.00,3961.00,3.25,0.67,-0.15,0.03,0.32,0.47,0.69,0.98,0.44,1.18,1.49,9.13,3.08,1.74,1.51,0.61,0.58,8.69,1.08,0.59,3.95,1.32,-1.42,-0.02,1.21,0.26230.47,0.67980.74,0.97841.00,0.41480.45,1.18101.19,1.48831.56,6.56519.13,2.91503.15,1.72201.77,1.38191.51,0.58530.62,0.56500.58
BuenosAires94,edition1994,SUDAMERIQUE,80.40,77.00,25.80,27.40,2066.00,13.20,32.10,34.00,30.00,66.00,370.00,1565.00,450.00,990.00,1020.00,720.00,420.00,4060.00,0.72,5.99,14900.00,37.00,342.00,400.00,16.80,4.70,4500.00,4500.00,8200.00,4500.00,6600.00,10900.00,30200.00,24000.00,33500.00,18500.00,10800.00,6000.00,9710.00,0.89,1.23,-0.31,-0.20,-1.59,0.46,0.46,0.84,0.46,0.68,1.12,3.11,2.47,3.45,1.91,1.11,0.62,2.99,0.76,0.87,4.21,0.04,3.56,0.32,0.07,0.26230.47,0.30150.46,0.84000.86,0.46340.48,0.13120.75,1.12261.13,3.04103.13,2.43882.58,3.22583.50,1.83252.01,1.07691.13,0.61790.63
Cairo91,Edition1991,AFRIQUE,37.10,47.20,,,,,,,,,216.00,648.00,174.00,188.00,1380.00,924.00,920.00,1628.00,,1.53,7704.00,21.00,131.00,121.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Cairo94,edition1994,AFRIQUE,48.70,59.50,,,,,,,,,281.00,948.00,270.00,410.00,1770.00,1180.00,1180.00,1930.00,,1.48,15400.00,31.00,183.00,210.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Caracas91,Edition1991,SUDAMERIQUE,61.00,61.20,9.30,10.90,2041.00,21.10,15.20,17.80,75.00,103.00,293.00,1064.00,502.00,656.00,1373.00,978.00,260.00,2298.00,0.20,3.17,12594.00,17.00,157.00,248.00,7.90,1.74,2345.00,1072.00,4153.00,1072.00,4555.00,12929.00,11120.00,4957.00,2613.00,4890.00,2479.00,1407.00,3555.00,3.71,0.05,0.61,0.34,0.18,0.66,0.30,1.17,0.30,1.28,3.64,3.13,1.39,0.74,1.38,0.70,0.40,3.34,1.22,0.55,2.63,3.66,-0.38,-0.11,-1.60,0.65960.73,0.30150.46,1.15121.17,0.29390.36,1.26601.28,3.53923.64,3.04103.13,1.37691.42,0.60120.77,1.35001.38,0.68210.70,0.36080.40
Caracas94,edition1994,SUDAMERIQUE,40.80,39.90,4.90,5.90,1910.00,15.90,12.10,14.30,117.00,243.00,220.00,795.00,250.00,430.00,850.00,410.00,210.00,1540.00,0.30,2.96,6100.00,11.00,148.00,140.00,4.70,1.00,2500.00,900.00,1300.00,900.00,1600.00,6100.00,4400.00,8100.00,2000.00,3500.00,2000.00,1000.00,1910.00,4.24,-0.06,-0.01,0.04,0.07,1.31,0.47,0.68,0.47,0.84,3.19,2.30,4.24,1.05,1.83,1.05,0.52,3.77,0.76,0.79,4.46,0.03,1.31,1.72,-1.68,1.30891.35,0.47120.68,0.57700.68,0.46340.48,0.77480.91,2.78713.50,2.30372.44,3.93934.37,1.02251.05,1.83252.01,0.95561.05,0.50550.52
Chicago91,Edition1991,NORDAMERIQUE,73.90,78.20,71.40,61.90,1924.00,11.80,96.70,83.80,18.00,18.00,347.00,1290.00,784.00,1186.00,1775.00,797.00,880.00,1480.00,1.13,7.65,16278.00,36.00,241.00,255.00,31.10,9.91,24116.00,25523.00,21168.00,22374.00,26259.00,21436.00,31685.00,37781.00,15675.00,17953.00,10383.00,10986.00,19075.00,-2.20,-1.03,0.45,-0.25,0.79,1.26,1.34,1.11,1.17,1.38,1.12,1.66,1.98,0.82,0.94,0.54,0.58,1.44,1.24,0.56,-2.34,0.80,-1.17,-0.78,-0.22,1.26191.27,1.32781.40,1.09471.11,1.17301.32,1.35201.38,1.12261.13,1.66111.77,1.98072.12,0.82180.90,0.93710.94,0.51980.54,0.56500.58
Chicago94,edition1994,NORDAMERIQUE,75.70,81.20,75.60,75.50,1933.00,10.80,99.80,99.70,12.00,14.00,351.00,1474.00,660.00,1390.00,2450.00,900.00,900.00,1390.00,1.50,5.00,19300.00,49.00,218.00,370.00,21.10,13.00,36900.00,31600.00,29500.00,28000.00,37100.00,25300.00,55900.00,34600.00,23000.00,22500.00,13100.00,14100.00,25129.00,-4.42,-1.25,0.41,0.61,1.08,1.47,1.26,1.17,1.11,1.48,1.01,2.22,1.38,0.92,0.90,0.52,0.56,1.70,1.33,0.54,-2.61,0.86,-1.63,-1.08,0.02,1.46841.49,1.25751.27,1.15121.17,1.10871.12,1.47641.57,0.98881.02,2.11402.24,1.37691.42,0.91530.97,0.89150.92,0.51980.54,0.55770.56
Copenhague91,Edition1991,NORDEUROPE,91.30,89.60,83.30,62.90,1717.00,25.00,91.20,68.90,4.00,39.00,402.00,1594.00,529.00,857.00,1025.00,596.00,540.00,2479.00,2.47,9.71,24786.00,23.00,242.00,335.00,40.00,10.05,17551.00,16613.00,18623.00,16948.00,19628.00,19962.00,28336.00,30011.00,18891.00,17551.00,13532.00,15943.00,17253.00,-1.53,-0.77,0.45,-0.52,-0.37,1.02,0.96,1.08,0.98,1.14,1.16,1.64,1.74,1.09,1.02,0.78,0.92,0.96,1.11,0.85,-1.61,0.34,1.01,0.58,-0.61,1.01731.06,0.95150.97,1.06861.08,0.98231.03,1.13541.15,1.13401.16,1.59821.64,1.73591.75,1.09491.11,1.01731.02,0.78430.79,0.88520.92
Copenhague94,edition1994,NORDEUROPE,94.70,92.00,87.50,68.30,1669.00,25.00,92.40,72.10,8.00,26.00,379.00,1842.00,730.00,1020.00,900.00,640.00,620.00,3000.00,3.04,9.34,26200.00,28.00,241.00,450.00,38.50,11.70,20500.00,17100.00,23600.00,19000.00,22000.00,23100.00,30800.00,32700.00,22300.00,19900.00,15000.00,16700.00,19527.00,-2.37,-0.83,0.74,-0.42,-0.49,1.05,0.88,1.21,0.97,1.13,1.18,1.58,1.67,1.14,1.02,0.77,0.86,0.91,1.17,0.81,-1.53,0.85,1.07,0.23,-0.56,1.01731.06,0.87570.89,1.19651.29,0.95920.97,1.11231.13,1.15991.18,1.56231.58,1.67461.72,1.14201.18,1.01731.02,0.76190.77,0.85520.88
Dublin91,Edition1991,NORDEUROPE,76.00,74.20,45.50,41.40,1759.00,22.90,59.90,54.50,12.00,29.00,316.00,1326.00,328.00,482.00,1072.00,918.00,340.00,2345.00,1.19,8.02,17082.00,36.00,178.00,261.00,27.30,6.63,17953.00,12192.00,10115.00,9244.00,14469.00,9512.00,26125.00,26259.00,16211.00,12661.00,10048.00,8441.00,11665.00,0.48,-0.13,-0.50,-0.22,-0.05,1.54,1.05,0.87,0.79,1.24,0.82,2.24,2.25,1.39,1.09,0.86,0.72,1.53,1.05,0.79,-0.73,-0.84,-0.01,0.64,0.41,1.50071.59,1.04521.06,0.86550.87,0.79250.81,1.22691.24,0.78510.82,2.11402.24,2.25112.35,1.38861.39,1.07691.11,0.86100.88,0.72360.74
Dublin94,edition1994,NORDEUROPE,63.40,62.60,43.00,40.80,1727.00,23.40,67.90,64.40,11.00,31.00,313.00,1233.00,230.00,570.00,580.00,470.00,430.00,1660.00,1.37,6.13,23600.00,29.00,213.00,270.00,25.00,7.10,19800.00,13600.00,10300.00,10100.00,13900.00,9200.00,25800.00,27100.00,17100.00,13600.00,10400.00,9100.00,12262.00,0.27,-0.19,-0.63,-0.22,-0.10,1.61,1.11,0.84,0.82,1.13,0.75,2.10,2.21,1.39,1.11,0.85,0.74,1.47,0.99,0.80,-0.85,-1.22,0.21,0.45,0.22,1.61131.62,1.09181.11,0.84000.86,0.82370.84,1.12681.13,0.48310.75,2.07952.10,2.21012.24,1.39451.41,1.10701.12,0.83050.86,0.72360.74
Dusseldorf91,Edition1991,CENTRALEUROPE,78.50,81.50,69.40,60.20,1693.00,29.60,88.50,76.70,12.00,22.00,320.00,1370.00,496.00,750.00,1588.00,971.00,780.00,2117.00,1.49,6.87,13867.00,21.00,198.00,281.00,31.10,9.65,26527.00,19427.00,14135.00,15005.00,19962.00,20297.00,45284.00,43408.00,20967.00,19025.00,9378.00,10986.00,16331.00,-1.76,0.37,-0.16,-0.55,0.71,1.62,1.19,0.87,0.92,1.22,1.24,2.77,2.66,1.28,1.16,0.57,0.67,2.20,1.04,0.62,-0.53,-0.70,-1.31,-0.25,-0.56,1.61131.62,1.18961.21,0.86550.87,0.88980.94,1.21581.22,1.20761.24,2.69362.82,2.59302.70,1.26471.31,1.15361.18,0.55420.59,0.66990.67
Dusseldorf94,edition1994,CENTRALEUROPE,77.10,79.40,77.90,66.70,1682.00,30.50,101.10,86.60,13.00,23.00,352.00,1500.00,560.00,780.00,1440.00,1130.00,840.00,2190.00,1.63,9.21,22900.00,25.00,250.00,320.00,33.60,11.30,32900.00,24000.00,16600.00,15800.00,20700.00,18100.00,57800.00,34800.00,26800.00,21200.00,14400.00,15000.00,19007.00,-2.72,0.24,-0.64,0.08,0.21,1.73,1.26,0.87,0.83,1.09,0.95,3.04,1.83,1.41,1.12,0.76,0.79,2.28,0.98,0.77,-0.99,-1.60,-0.20,-0.18,0.08,1.64861.73,1.25751.27,0.86550.87,0.82370.84,1.08201.09,0.94800.96,3.04103.13,1.79181.84,1.39451.41,1.10701.12,0.75360.76,0.78770.80
Frankfurt91,Edition1991,CENTRALEUROPE,74.50,79.80,72.20,60.40,1650.00,30.10,97.00,81.20,13.00,22.00,316.00,1300.00,335.00,790.00,1487.00,744.00,990.00,2057.00,1.37,5.73,16010.00,18.00,283.00,295.00,33.60,9.65,25857.00,17886.00,12795.00,13867.00,20766.00,12527.00,58213.00,30011.00,19962.00,18087.00,10249.00,12326.00,15916.00,-1.34,0.20,-0.76,-0.07,0.51,1.62,1.12,0.80,0.87,1.30,0.79,3.66,1.89,1.25,1.14,0.64,0.77,3.01,1.05,0.71,-0.98,-1.03,-1.25,0.18,-0.08,1.61131.62,1.12381.14,0.76920.82,0.84270.87,1.28861.31,0.78510.82,3.65754.38,1.88561.95,1.21121.25,1.12651.15,0.62370.64,0.76530.78
Frankfurt94,edition1994,CENTRALEUROPE,78.60,79.80,79.10,66.40,1725.00,31.20,100.70,84.40,13.00,23.00,391.00,1529.00,350.00,570.00,2080.00,950.00,590.00,1990.00,1.48,10.39,21700.00,25.00,261.00,350.00,34.60,11.30,34600.00,20400.00,17900.00,15300.00,23700.00,23200.00,52400.00,41900.00,34600.00,19800.00,14300.00,13900.00,19493.00,-3.05,0.63,-0.25,-0.01,0.15,1.77,1.05,0.92,0.78,1.22,1.19,2.69,2.15,1.77,1.02,0.73,0.71,1.98,1.07,0.72,-0.51,-1.07,-0.63,-0.35,0.04,1.75201.78,1.04521.06,0.90670.92,0.78190.79,1.21581.22,1.18461.19,2.54472.69,2.14952.20,1.77501.81,1.01101.02,0.73360.75,0.71310.72
Geneve91,Edition1991,CENTRALEUROPE,95.90,94.00,93.30,90.30,1880.00,22.70,97.20,94.20,10.00,21.00,502.00,1675.00,395.00,703.00,1943.00,1065.00,560.00,2927.00,1.21,11.05,13800.00,27.00,248.00,348.00,22.50,14.47,43274.00,39523.00,26460.00,20632.00,31551.00,32154.00,43475.00,46222.00,35705.00,27063.00,18556.00,16144.00,27203.00,-5.36,-0.31,0.04,0.39,0.35,1.59,1.45,0.97,0.76,1.16,1.18,1.60,1.70,1.31,0.99,0.68,0.59,1.11,1.07,0.64,-1.45,-0.71,-0.61,-0.84,0.19,1.50071.59,1.42201.51,0.95350.97,0.73780.78,1.14581.17,1.15991.18,1.59821.64,1.67461.72,1.26471.31,0.97161.00,0.68210.70,0.59350.61
Geneve94,edition1994,CENTRALEUROPE,95.80,94.90,96.50,89.90,1883.00,24.00,100.70,93.80,13.00,23.00,558.00,1865.00,440.00,690.00,1520.00,1300.00,770.00,2700.00,1.40,11.90,16800.00,30.00,312.00,390.00,26.60,15.50,49200.00,37200.00,29800.00,21300.00,34900.00,26200.00,61200.00,39600.00,46700.00,30500.00,22000.00,21800.00,29187.00,-6.36,-0.30,-0.75,0.76,-0.40,1.69,1.27,1.02,0.73,1.20,0.90,2.10,1.36,1.60,1.04,0.75,0.75,1.37,1.11,0.75,-1.51,-0.98,-0.19,-0.41,0.31,1.64861.73,1.25751.27,1.01231.02,0.71150.74,1.19571.21,0.87120.95,2.07952.10,1.31911.36,1.60001.68,1.03331.05,0.75360.76,0.74670.76
Helsinki91,Edition1991,NORDEUROPE,113.60,108.30,75.50,66.60,1667.00,28.60,66.40,58.60,27.00,40.00,603.00,1984.00,610.00,1092.00,1199.00,918.00,680.00,2887.00,1.80,8.76,25456.00,29.00,234.00,409.00,29.40,10.65,21034.00,20297.00,19360.00,15608.00,20766.00,18824.00,32020.00,26192.00,18154.00,16881.00,13130.00,14335.00,17755.00,-1.52,-0.80,0.23,-0.05,-0.07,1.18,1.14,1.09,0.88,1.17,1.06,1.80,1.48,1.02,0.95,0.74,0.81,1.06,1.13,0.77,-1.87,0.20,0.36,0.05,-0.12,1.16181.20,1.12381.14,1.08341.09,0.87910.89,1.14581.17,1.06021.07,1.79561.84,1.43171.49,1.02251.05,0.95080.96,0.73360.75,0.80740.83
